"","Court","PendStart","New","Reopen","Closed","PendatEnd","Pending0.6","Pending6plus","PendingInact.BW","JuryTrials","NonJuryTrials","Convict","Acquit","PleaTrial","DismTrial","DismBrief","PleaBef","DismbyPros","PostJActiv","Other","court.type","Year"
"763","Youthful Offender Crimes Against Persons","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,1,0,"0","Seventh District Court",2016
"764","Youthful Offender Homicide","0","1","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Seventh District Court",2016
"765","Youthful Offender Sexual Offenses","0","1","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Seventh District Court",2016
"766","Total","32","54","14","73","28","20",5,3,0,0,0,0,0,0,11,26,23,21,"0","Seventh District Court",2016
"767","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eighth District Court",2016
"768","Adult Motor Vehicle Offenses","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,1,0,"0","Eighth District Court",2016
"769","Felony Crimes Against Property","131","80","66","171","113","51",20,42,2,0,0,2,0,0,14,56,50,76,"0","Eighth District Court",2016
"770","Felony Crimes Against Persons","160","129","57","183","171","84",50,37,2,0,1,1,0,0,24,64,54,62,"0","Eighth District Court",2016
"771","Felony Drug Offenses","156","125","53","187","157","71",46,40,2,0,0,0,1,1,19,73,73,51,"0","Eighth District Court",2016
"772","Felony DWI/DUI","24","28","10","32","30","14",12,4,0,1,1,0,0,0,0,20,10,8,"0","Eighth District Court",2016
"773","Felony Homicide","8","2","1","5","6","1",5,0,3,0,3,0,0,0,0,1,1,1,"0","Eighth District Court",2016
"774","Felony Miscellaneous","18","10","4","11","21","9",7,5,1,0,0,0,1,0,0,4,3,4,"0","Eighth District Court",2016
"775","Felony Public Safety Offenses","28","19","9","35","22","10",9,3,0,0,0,0,0,0,1,19,8,13,"0","Eighth District Court",2016
"776","Felony Sexual Offenses","23","6","3","9","24","5",12,7,0,0,0,0,0,0,0,4,1,4,"0","Eighth District Court",2016
"777","Felony First Degree","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,1,0,"0","Eighth District Court",2016
"778","Felony Domestic Violence","2","6","1","6","3","2",1,0,0,0,0,0,0,0,0,3,2,2,"0","Eighth District Court",2016
"779","Lower Court Appeal","8","0","0","5","3","1",2,0,0,0,0,0,0,0,2,1,2,0,"0","Eighth District Court",2016
"780","Felony Vehicular Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,1,0,"0","Eighth District Court",2016
"781","Lower Court Appeal ‐ Defendant Appellant","9","5","3","10","7","3",4,0,0,2,2,0,0,0,1,4,0,1,"0","Eighth District Court",2016
"782","Lower Court Appeal ‐ Plaintiff Appellant","4","1","0","4","1","0",1,0,0,0,0,0,0,0,0,0,4,0,"0","Eighth District Court",2016
"783","Lower Court DWI/DUI Appeals","3","0","0","3","0","0",0,0,0,0,0,0,0,0,1,1,0,0,"0","Eighth District Court",2016
"784","Lower Court DWI Appeal ‐ Defendant Appellant","6","5","1","8","4","2",2,0,1,2,2,0,0,1,1,3,0,1,"0","Eighth District Court",2016
"785","Lower Court DWI Appeal ‐ Plaintiff Appellant","2","0","0","2","0","0",0,0,0,1,1,0,0,0,0,0,0,0,"0","Eighth District Court",2016
"786","Misdemeanor (Dist.)","5","8","2","10","5","1",3,1,0,0,0,0,0,0,0,3,5,3,"0","Eighth District Court",2016
"787","Misdemeanor DWI/DUI","4","4","0","6","2","2",0,0,0,0,0,0,0,0,0,5,4,0,"0","Eighth District Court",2016
"788","Petition for Review of Bond/Conditions of Release","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Eighth District Court",2016
"789","Total","595","428","210","691","569","256",174,139,11,6,10,3,2,2,63,263,220,226,"0","Eighth District Court",2016
"790","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eighth District Court",2016
"791","Juvenile Public Safety Offenses","5","0","1","6","2","0",2,0,0,0,0,0,0,0,0,1,1,3,"0","Eighth District Court",2016
"792","Juvenile Crimes Against Property","10","21","10","26","15","8",6,1,0,0,0,0,0,0,2,9,4,11,"0","Eighth District Court",2016
"793","Juvenile Crimes Against Persons","17","34","7","39","19","13",6,0,0,0,0,0,0,0,1,12,19,8,"0","Eighth District Court",2016
"794","Juvenile Delinquent Felony","6","1","1","5","4","0",3,1,0,0,0,0,0,0,1,1,2,1,"0","Eighth District Court",2016
"795","Juvenile Delinquent Non‐Felony","6","9","1","10","6","1",5,0,0,0,0,0,0,0,1,5,3,1,"0","Eighth District Court",2016
"796","Juvenile Drug Offenses","10","17","9","29","7","3",3,1,0,0,0,0,0,0,1,11,8,11,"0","Eighth District Court",2016
"797","Juvenile DWI Offenses","2","2","0","1","3","1",2,0,0,0,0,0,0,0,0,1,0,0,"0","Eighth District Court",2016
"798","Juvenile Extradition","1","1","0","1","1","0",1,0,0,0,0,0,0,0,0,0,1,0,"0","Eighth District Court",2016
"799","Juvenile Graffiti Offenses","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Eighth District Court",2016
"800","Juvenile Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Eighth District Court",2016
"801","Juvenile Sexual Offenses","2","2","1","2","3","1",1,1,0,0,0,0,0,0,0,1,0,1,"0","Eighth District Court",2016
"802","Youthful Offender Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Eighth District Court",2016
"803","Youthful Offender Sexual Offenses","0","1","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Eighth District Court",2016
"804","Total","62","88","30","121","62","28",30,4,0,0,0,0,0,0,6,43,38,36,"0","Eighth District Court",2016
"805","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ninth District Court",2016
"806","Adult Motor Vehicle Offenses","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Ninth District Court",2016
"807","Extradition","20","19","0","19","20","7",13,0,0,0,0,0,0,0,6,0,13,0,"0","Ninth District Court",2016
"808","Felony Crimes Against Property","285","223","131","343","306","141",93,72,8,0,3,2,3,0,16,129,79,126,"0","Ninth District Court",2016
"809","Felony Crimes Against Persons","209","230","68","259","256","120",91,45,9,0,8,1,0,0,14,125,56,67,"0","Ninth District Court",2016
"810","Felony Drug Offenses","324","326","138","383","413","234",85,94,11,0,9,1,0,1,25,172,71,120,"0","Ninth District Court",2016
"811","Felony DWI/DUI","26","14","6","19","27","6",9,12,0,0,0,0,0,0,1,12,3,4,"0","Ninth District Court",2016
"812","Felony Homicide","8","4","1","4","10","0",10,0,0,0,0,0,0,0,0,1,0,3,"0","Ninth District Court",2016
"813","Felony Miscellaneous","100","59","26","107","78","34",28,16,3,1,4,0,0,0,5,44,36,26,"0","Ninth District Court",2016
"814","Felony Public Safety Offenses","2","4","1","5","3","3",0,0,0,0,0,0,0,0,0,2,1,2,"0","Ninth District Court",2016
"815","Felony Sexual Offenses","50","34","14","45","54","21",28,5,7,0,3,3,0,1,4,13,9,15,"0","Ninth District Court",2016
"816","Felony First Degree","0","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Ninth District Court",2016
"817","Lower Court Appeal","7","0","0","1","6","0",6,0,0,0,0,0,0,0,1,0,0,0,"0","Ninth District Court",2016
"818","Lower Court Appeal ‐ Defendant Appellant","19","18","1","18","20","8",11,1,1,5,3,0,0,2,5,1,6,0,"1","Ninth District Court",2016
"819","Lower Court DWI/DUI Appeals","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Ninth District Court",2016
"820","Lower Court DWI Appeal ‐ Defendant Appellant","3","6","0","7","2","1",1,0,1,2,2,1,0,0,1,3,0,0,"0","Ninth District Court",2016
"821","Misdemeanor (Dist.)","30","4","4","24","15","4",5,6,1,1,0,1,0,1,1,4,5,12,"0","Ninth District Court",2016
"822","Misdemeanor DWI/DUI","23","8","3","12","22","3",7,12,0,0,0,0,0,0,0,5,3,4,"0","Ninth District Court",2016
"823","Petition for Review of Bond/Conditions of Release","2","1","0","0","3","0",3,0,0,0,0,0,0,0,0,0,0,0,"0","Ninth District Court",2016
"824","Total","1110","950","394","1249","1235","582",390,263,41,9,32,9,3,5,79,512,282,381,"1","Ninth District Court",2016
"825","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ninth District Court",2016
"826","Juvenile Public Safety Offenses","1","6","1","4","4","3",1,0,0,0,0,0,0,0,0,4,0,0,"0","Ninth District Court",2016
"827","Juvenile Crimes Against Property","21","44","26","59","30","15",13,2,0,0,0,0,0,0,5,18,8,27,"2","Ninth District Court",2016
"828","Juvenile Crimes Against Persons","35","47","15","64","33","18",9,6,1,0,1,0,0,0,7,25,18,14,"0","Ninth District Court",2016
"829","Juvenile Delinquent Felony","4","2","0","3","3","2",1,0,0,0,0,0,0,0,1,0,1,0,"0","Ninth District Court",2016
"830","Juvenile Delinquent Non‐Felony","7","11","2","14","6","2",3,1,0,1,0,0,0,1,1,3,5,4,"0","Ninth District Court",2016
"831","Juvenile Drug Offenses","18","15","9","28","14","10",2,2,0,0,0,0,0,0,3,11,6,10,"0","Ninth District Court",2016
"832","Juvenile DWI Offenses","2","2","0","4","0","0",0,0,0,0,0,0,0,0,0,2,2,0,"0","Ninth District Court",2016
"833","Juvenile Extradition","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Ninth District Court",2016
"834","Juvenile Motor Vehicle Offenses","1","1","0","2","0","0",0,0,0,0,0,0,0,0,0,0,2,0,"0","Ninth District Court",2016
"835","Juvenile Sexual Offenses","4","6","0","7","3","0",3,0,0,0,0,0,0,0,0,5,1,0,"2","Ninth District Court",2016
"836","Youthful Offender Crimes Against Persons","1","0","0","0","1","0",0,1,0,0,0,0,0,0,0,0,0,0,"0","Ninth District Court",2016
"837","Youthful Offender Crimes Against Property","4","4","0","4","4","1",2,1,0,0,0,0,0,0,1,3,0,0,"0","Ninth District Court",2016
"838","Youthful Offender Sexual Offenses","2","1","0","0","3","1",2,0,0,0,0,0,0,0,0,0,0,0,"0","Ninth District Court",2016
"839","Total","101","139","53","189","102","52",37,13,1,1,1,0,0,1,18,71,43,55,"4","Ninth District Court",2016
"840","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tenth District Court",2016
"841","Extradition","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,"1","Tenth District Court",2016
"842","Felony Crimes Against Property","33","17","17","38","31","14",13,4,1,0,1,0,0,0,4,16,10,14,"0","Tenth District Court",2016
"843","Felony Crimes Against Persons","42","41","23","59","47","22",16,9,2,0,1,1,0,0,5,23,18,24,"0","Tenth District Court",2016
"844","Felony Drug Offenses","41","46","24","52","59","35",8,16,0,0,0,0,0,0,9,15,25,20,"0","Tenth District Court",2016
"845","Felony DWI/DUI","2","3","4","5","4","2",1,1,0,0,0,0,0,0,0,2,2,3,"0","Tenth District Court",2016
"846","Felony Homicide","3","0","0","0","3","0",2,1,0,0,0,0,0,0,0,0,0,0,"0","Tenth District Court",2016
"847","Felony Miscellaneous","33","31","14","41","37","18",6,13,1,0,0,1,0,0,3,18,9,16,"0","Tenth District Court",2016
"848","Felony Sexual Offenses","5","1","1","4","2","1",1,0,0,0,0,0,0,0,0,2,4,0,"0","Tenth District Court",2016
"849","Felony Vehicular Homicide","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Tenth District Court",2016
"850","Lower Court Appeal ‐ Defendant Appellant","8","8","0","5","11","2",9,0,0,0,0,0,0,0,0,5,0,0,"0","Tenth District Court",2016
"851","Lower Court DWI Appeal ‐ Defendant Appellant","1","0","1","2","0","0",0,0,0,0,0,0,0,0,0,1,0,1,"0","Tenth District Court",2016
"852","Misdemeanor (Dist.)","6","2","2","6","4","0",3,1,0,0,0,0,0,0,2,2,3,1,"0","Tenth District Court",2016
"853","Total","175","150","86","213","199","94",60,45,4,0,2,2,0,0,23,84,71,79,"1","Tenth District Court",2016
"854","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tenth District Court",2016
"855","Juvenile Crimes Against Property","8","1","7","14","3","2",1,0,0,0,0,0,0,0,2,5,4,7,"0","Tenth District Court",2016
"856","Juvenile Crimes Against Persons","3","8","2","9","4","4",0,0,0,0,0,0,0,0,0,3,5,3,"0","Tenth District Court",2016
"857","Juvenile Delinquent Felony","2","3","0","3","2","2",0,0,0,0,0,0,0,0,0,0,3,0,"0","Tenth District Court",2016
"858","Juvenile Delinquent Non‐Felony","4","6","4","9","5","2",3,0,1,1,0,0,2,0,1,3,0,3,"0","Tenth District Court",2016
"859","Juvenile Drug Offenses","1","5","1","4","3","2",1,0,0,0,0,0,0,0,0,2,1,1,"0","Tenth District Court",2016
"860","Juvenile DWI Offenses","1","0","1","2","0","0",0,0,0,0,0,0,0,0,0,1,0,1,"0","Tenth District Court",2016
"861","Juvenile Motor Vehicle Offenses","0","1","1","1","1","0",1,0,0,0,0,0,0,0,0,1,0,0,"0","Tenth District Court",2016
"862","Juvenile Sexual Offenses","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Tenth District Court",2016
"863","Total","19","25","16","43","18","12",6,0,1,1,0,0,2,0,3,16,13,15,"0","Tenth District Court",2016
"864","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleventh District Court",2016
"865","Adult Motor Vehicle Offenses","1","0","0","0","1","0",0,1,0,0,0,0,0,0,0,0,0,0,"0","Eleventh District Court",2016
"866","Extradition","8","30","0","28","10","5",3,2,0,0,0,0,0,0,0,0,10,0,"18","Eleventh District Court",2016
"867","Felony Crimes Against Property","222","205","135","276","285","130",42,113,7,0,2,3,1,1,22,84,78,130,"0","Eleventh District Court",2016
"868","Felony Crimes Against Persons","442","488","276","689","518","262",139,117,15,0,11,2,1,1,42,281,232,263,"0","Eleventh District Court",2016
"869","Felony Drug Offenses","349","324","205","531","348","176",83,89,3,0,1,1,1,0,41,183,223,190,"0","Eleventh District Court",2016
"870","Felony DWI/DUI","176","192","51","209","205","104",40,61,1,0,1,0,0,0,3,148,82,47,"0","Eleventh District Court",2016
"871","Felony Homicide","12","8","6","13","12","5",6,1,5,0,5,0,0,0,0,4,2,4,"0","Eleventh District Court",2016
"872","Felony Miscellaneous","52","74","31","79","78","37",22,19,1,0,1,0,0,0,8,26,30,28,"0","Eleventh District Court",2016
"873","Felony Public Safety Offenses","62","89","28","94","84","52",18,14,2,0,1,1,0,0,7,41,34,29,"0","Eleventh District Court",2016
"874","Felony Sexual Offenses","51","50","20","51","69","26",36,7,5,1,3,3,0,0,1,21,11,17,"0","Eleventh District Court",2016
"875","Felony First Degree","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Eleventh District Court",2016
"876","Felony Domestic Violence","6","27","9","17","24","20",2,2,0,0,0,0,0,0,1,5,4,8,"0","Eleventh District Court",2016
"877","Lower Court Appeal","4","0","0","0","4","0",1,3,0,0,0,0,0,0,0,0,0,0,"0","Eleventh District Court",2016
"878","Felony Vehicular Homicide","0","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,1,"0","Eleventh District Court",2016
"879","Lower Court Appeal ‐ Defendant Appellant","42","47","0","59","29","20",9,0,0,12,12,0,0,0,2,40,4,1,"0","Eleventh District Court",2016
"880","Lower Court DWI/DUI Appeals","2","0","0","1","1","0",1,0,0,1,1,0,0,0,0,0,0,0,"0","Eleventh District Court",2016
"881","Lower Court DWI Appeal ‐ Defendant Appellant","62","48","0","72","38","24",14,0,1,26,26,0,0,1,1,43,4,0,"0","Eleventh District Court",2016
"882","Lower Court DWI Appeal ‐ Plaintiff Appellant","0","3","0","1","2","1",1,0,0,1,1,0,0,0,0,0,0,0,"0","Eleventh District Court",2016
"883","Misdemeanor (Dist.)","21","44","1","38","28","21",3,4,0,7,2,0,5,0,0,12,18,1,"0","Eleventh District Court",2016
"884","Misdemeanor DWI/DUI","1","6","1","6","2","2",0,0,0,0,0,0,0,0,0,1,4,1,"0","Eleventh District Court",2016
"885","Petition for Review of Bond/Conditions of Release","1","3","0","2","2","0",2,0,0,0,0,0,0,0,2,0,0,0,"0","Eleventh District Court",2016
"886","Total","1515","1639","764","2167","1742","886",423,433,40,48,67,10,8,3,130,889,736,720,"18","Eleventh District Court",2016
"887","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleventh District Court",2016
"888","Juvenile Public Safety Offenses","8","11","6","21","4","2",1,1,0,0,0,0,0,0,1,11,9,5,"0","Eleventh District Court",2016
"889","Juvenile Crimes Against Property","52","79","27","112","46","35",4,7,0,0,0,0,0,0,3,57,52,27,"0","Eleventh District Court",2016
"890","Juvenile Crimes Against Persons","48","89","28","127","39","27",8,4,1,1,0,1,0,1,6,57,53,27,"0","Eleventh District Court",2016
"891","Juvenile Delinquent Felony","3","5","3","7","4","1",3,0,0,0,0,0,0,0,0,2,3,4,"0","Eleventh District Court",2016
"892","Juvenile Delinquent Non‐Felony","7","7","1","8","7","5",2,0,0,0,0,0,0,0,0,2,5,3,"0","Eleventh District Court",2016
"893","Juvenile Drug Offenses","19","49","9","58","19","13",4,2,0,0,0,0,0,0,0,25,33,10,"0","Eleventh District Court",2016
"894","Juvenile DWI Offenses","7","13","3","15","8","7",1,0,0,0,0,0,0,0,0,9,8,4,"0","Eleventh District Court",2016
"895","Juvenile Motor Vehicle Offenses","1","6","1","7","1","1",0,0,0,0,0,0,0,0,0,5,6,1,"0","Eleventh District Court",2016
"896","Juvenile Sexual Offenses","6","14","2","18","4","1",3,0,0,0,0,0,0,0,1,7,10,3,"0","Eleventh District Court",2016
"897","Youthful Offender Crimes Against Persons","0","2","1","1","2","1",1,0,0,0,0,0,0,0,0,0,0,1,"0","Eleventh District Court",2016
"898","Youthful Offender Homicide","0","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Eleventh District Court",2016
"899","Youthful Offender Sexual Offenses","1","4","2","1","6","3",2,1,0,0,0,0,0,0,0,0,0,1,"0","Eleventh District Court",2016
"900","Total","152","279","84","376","140","96",29,15,1,1,0,1,0,1,11,175,179,87,"0","Eleventh District Court",2016
"901","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twelfth District Court",2016
"902","Extradition","4","4","0","2","7","4",2,1,0,0,0,0,0,0,0,0,0,0,"1","Twelfth District Court",2016
"903","Felony Crimes Against Property","221","121","132","228","247","114",91,42,5,1,1,0,4,1,13,68,52,122,"0","Twelfth District Court",2016
"904","Felony Crimes Against Persons","374","178","171","374","349","133",160,56,23,1,16,4,3,1,8,146,121,151,"1","Twelfth District Court",2016
"905","Felony Drug Offenses","519","249","253","445","577","214",207,156,18,0,10,4,4,0,35,160,96,198,"0","Twelfth District Court",2016
"906","Felony DWI/DUI","66","39","22","54","73","22",32,19,5,2,4,1,2,0,0,19,14,23,"0","Twelfth District Court",2016
"907","Felony Homicide","11","1","6","8","10","2",8,0,0,0,0,0,0,0,0,1,1,6,"0","Twelfth District Court",2016
"908","Felony Miscellaneous","207","99","76","192","191","65",85,41,4,0,3,0,0,0,8,76,63,84,"0","Twelfth District Court",2016
"909","Felony Public Safety Offenses","8","10","4","7","15","10",2,3,0,0,0,0,0,0,0,2,1,5,"0","Twelfth District Court",2016
"910","Felony Sexual Offenses","44","26","18","34","54","16",34,4,3,2,3,0,2,0,1,12,6,13,"0","Twelfth District Court",2016
"911","Felony First Degree","0","0","1","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2016
"912","Felony Domestic Violence","7","3","2","3","9","1",2,6,0,0,0,0,0,0,0,2,2,1,"0","Twelfth District Court",2016
"913","Lower Court Appeal","5","0","1","2","4","1",2,1,1,0,1,0,0,0,0,0,0,0,"0","Twelfth District Court",2016
"914","Felony Vehicular Homicide","2","0","0","0","2","0",1,1,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2016
"915","Lower Court Appeal ‐ Defendant Appellant","18","14","1","13","20","4",15,1,0,3,2,0,1,0,1,5,4,0,"0","Twelfth District Court",2016
"916","Lower Court Appeal ‐ Plaintiff Appellant","4","1","0","4","1","1",0,0,0,0,0,0,0,0,0,1,0,1,"0","Twelfth District Court",2016
"917","Lower Court DWI Appeal ‐ Defendant Appellant","4","1","0","2","3","1",2,0,0,1,1,0,0,0,0,0,1,0,"0","Twelfth District Court",2016
"918","Misdemeanor (Dist.)","37","30","7","35","39","18",14,7,4,1,1,3,1,0,2,15,10,4,"0","Twelfth District Court",2016
"919","Misdemeanor DWI/DUI","6","0","0","2","4","0",3,1,1,0,0,0,1,0,0,1,1,0,"0","Twelfth District Court",2016
"920","Total","1537","776","694","1405","1606","607",660,339,64,11,42,12,18,2,68,508,372,608,"2","Twelfth District Court",2016
"921","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twelfth District Court",2016
"922","Juvenile Public Safety Offenses","1","4","6","9","2","0",1,1,0,0,0,0,0,0,0,3,1,5,"0","Twelfth District Court",2016
"923","Juvenile Crimes Against Property","19","25","29","52","21","17",2,2,0,1,0,0,1,0,1,16,6,29,"0","Twelfth District Court",2016
"924","Juvenile Crimes Against Persons","21","39","20","47","33","20",6,7,0,0,0,0,0,0,1,24,9,14,"0","Twelfth District Court",2016
"925","Juvenile Delinquent Felony","9","7","11","14","13","7",5,1,0,0,0,0,0,0,2,5,1,7,"0","Twelfth District Court",2016
"926","Juvenile Delinquent Non‐Felony","4","16","11","19","12","8",4,0,0,0,0,0,0,0,1,9,1,9,"0","Twelfth District Court",2016
"927","Juvenile Drug Offenses","9","20","18","39","8","7",1,0,0,0,0,0,0,0,0,17,4,19,"0","Twelfth District Court",2016
"928","Juvenile DWI Offenses","2","6","1","7","3","3",0,0,0,0,0,0,0,0,0,5,1,1,"0","Twelfth District Court",2016
"929","Juvenile Extradition","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,"1","Twelfth District Court",2016
"930","Juvenile Graffiti Offenses","0","0","1","0","1","0",0,1,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2016
"931","Juvenile Motor Vehicle Offenses","1","4","0","2","3","3",0,0,0,0,0,0,0,0,1,0,0,0,"0","Twelfth District Court",2016
"932","Juvenile Sexual Offenses","2","4","0","3","3","1",2,0,0,0,0,0,0,0,1,2,0,0,"0","Twelfth District Court",2016
"933","Youthful Offender Crimes Against Persons","1","0","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2016
"934","Youthful Offender Crimes Against Property","3","1","1","3","2","1",1,0,1,0,1,0,0,0,0,2,1,0,"0","Twelfth District Court",2016
"935","Youthful Offender Sexual Offenses","2","3","0","2","3","2",1,0,0,0,0,0,0,0,0,2,1,0,"0","Twelfth District Court",2016
"936","Total","74","130","98","198","105","70",23,12,1,1,1,0,1,0,7,85,25,84,"1","Twelfth District Court",2016
"937","CRIMINAL","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Thirteenth District Court",2016
"938","Extradition","14","60","0","51","23","12",10,1,0,0,0,0,0,0,2,1,41,0,"3","Thirteenth District Court",2016
"939","Felony Crimes Against Property","761","379","252","654","738","222",239,277,4,4,2,0,2,3,55,237,199,249,"0","Thirteenth District Court",2016
"940","Felony Crimes Against Persons","945","437","209","736","851","229",371,251,17,5,11,3,5,3,71,269,248,222,"0","Thirteenth District Court",2016
"941","Felony Drug Offenses","539","388","151","487","584","208",174,202,5,1,4,0,1,1,52,189,166,144,"0","Thirteenth District Court",2016
"942","Felony DWI/DUI","146","96","33","135","140","41",45,54,4,2,2,2,1,1,5,82,34,29,"0","Thirteenth District Court",2016
"943","Felony Homicide","23","7","7","13","24","4",18,2,2,0,2,0,0,0,0,3,4,6,"0","Thirteenth District Court",2016
"944","Felony Miscellaneous","71","34","20","52","73","27",24,22,0,1,0,0,1,0,6,21,17,13,"0","Thirteenth District Court",2016
"945","Felony Public Safety Offenses","111","71","24","99","106","35",45,26,1,1,1,0,0,1,17,42,37,16,"0","Thirteenth District Court",2016
"946","Felony Sexual Offenses","64","31","10","45","60","10",42,8,5,0,1,3,0,1,6,15,12,14,"0","Thirteenth District Court",2016
"947","Felony Vehicular Homicide","3","1","1","2","3","1",1,1,0,0,0,0,0,0,0,2,2,0,"0","Thirteenth District Court",2016
"948","Lower Court Appeal","14","0","0","0","14","0",13,1,0,0,0,0,0,0,0,0,0,0,"0","Thirteenth District Court",2016
"949","Lower Court Appeal ‐ Defendant Appellant","39","66","1","47","59","26",33,0,0,17,14,0,0,3,6,15,5,2,"0","Thirteenth District Court",2016
"950","Lower Court Appeal ‐ Plaintiff Appellant","2","4","0","2","4","3",1,0,0,0,0,0,0,0,2,0,0,0,"0","Thirteenth District Court",2016
"951","Lower Court DWI Appeal ‐ Defendant Appellant","19","35","0","30","24","13",11,0,0,14,12,0,0,2,7,8,1,0,"0","Thirteenth District Court",2016
"952","Lower Court DWI Appeal ‐ Plaintiff Appellant","1","4","0","2","3","2",1,0,0,0,0,0,0,0,0,1,0,0,"0","Thirteenth District Court",2016
"953","Misdemeanor (Dist.)","5","7","1","6","7","7",0,0,0,0,0,0,0,0,1,3,3,0,"0","Thirteenth District Court",2016
"954","Misdemeanor DWI/DUI","7","7","0","5","10","6",4,0,0,0,0,0,0,0,1,3,1,0,"0","Thirteenth District Court",2016
"955","Petition for Review of Bond/Conditions of Release","0","2","0","1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,"0","Thirteenth District Court",2016
"956","Total","2764","1629","709","2367","2724","847",1032,845,38,45,49,8,10,15,232,891,770,695,"3","Thirteenth District Court",2016
"957","JUVENILE","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Thirteenth District Court",2016
"958","Juvenile Public Safety Offenses","17","7","2","19","8","4",2,2,0,0,0,0,0,0,6,2,8,3,"0","Thirteenth District Court",2016
"959","Juvenile Crimes Against Property","39","72","25","86","50","25",16,9,0,0,0,0,0,0,14,37,23,24,"0","Thirteenth District Court",2016
"960","Juvenile Crimes Against Persons","68","102","33","135","69","39",17,13,0,0,0,0,0,0,16,48,53,32,"0","Thirteenth District Court",2016
"961","Juvenile Delinquent Felony","1","6","5","9","3","2",0,1,0,0,0,0,0,0,0,3,4,4,"0","Thirteenth District Court",2016
"962","Juvenile Delinquent Non‐Felony","1","7","1","4","5","1",2,2,0,0,0,0,0,0,0,3,1,1,"0","Thirteenth District Court",2016
"963","Juvenile Drug Offenses","40","74","25","97","43","25",10,8,0,0,0,0,0,0,22,35,23,22,"0","Thirteenth District Court",2016
"964","Juvenile DWI Offenses","9","9","4","19","3","1",1,1,0,0,0,0,0,0,6,8,4,4,"0","Thirteenth District Court",2016
"965","Juvenile Graffiti Offenses","1","0","0","0","1","0",0,1,0,0,0,0,0,0,0,0,0,0,"0","Thirteenth District Court",2016
"966","Juvenile Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,1,0,"0","Thirteenth District Court",2016
"967","Juvenile Motor Vehicle Offenses","1","3","1","3","2","2",0,0,0,0,0,0,0,0,0,0,2,1,"0","Thirteenth District Court",2016
"968","Juvenile Sexual Offenses","13","5","2","11","9","3",5,1,0,0,0,0,0,0,4,4,1,2,"0","Thirteenth District Court",2016
